Id;Nombre;Apellido1;Apellido2;Sexo;Nif;Direccion;Municipio;Provincia;Cp;Movil;Telefono;Correo;Nacimiento;direccion_y;diireccion_y;max_clientes;Coste
1;María Jesús;Valencia;Vidal;M;55598678L;Paseo Vuelta Lista 17, 1º;Benicarló;Castellón;12271;690-579-692;964-919-821;marvalencia@email.es;09/09/1935;213;260;52;24092
2;Manuel;Rubio;Soler;H;72383640H;Avenida Sosiego 51, 5;Benidorm;Alicante;3307;635-746-126;967-165-365;manrubio@email.es;31/03/1984;384;27;62;18344
3;María Luisa;García;Llopis;M;82175919R;Avenida  Proposición Pequeña 52, 3º 4ª;Madrid;Madrid;28972;658-253-931;918-964-333;garcia26@correo.com;23/12/1986;391;119;41;23826
4;Laia;Rodríguez;Martin;M;03195495J;Paseo Septentrional Estudioso 132, 5º 5ª;Motril;Granada;18060;641-465-717;958-419-161;lrodriguez@email.com;09/01/2000;221;189;35;18535
5;Manuel;Sánchez;González;H;02673265K;Plaza  Binomio Alto 148, 5;Utrera;Sevilla;41806;606-067-915;951-938-482;manuel.sanchez@mail.es;01/03/1991;264;303;44;22090
6;María;Plaza;Gil;M;15106576S;Paseo Enseñanza 178, 6º;San Bartolomé de Tirajana;Las Palmas;35477;695-130-405;928-221-577;plaza17@correo.es;24/06/1974;233;256;66;22161
7;Sergio;Mamani;Vega;H;86113819W;Paseo Citoplasma 50, 4º 3ª;Barcelona;Barcelona;8374;653-839-468;933-000-450;smamani@mail.net;15/03/1990;488;293;54;17718
8;Concepción;Millán;Pallares;M;01101630E;Paseo  Composición Azul 250 bis, 4;Málaga;Málaga;29142;689-820-875;952-241-088;cmillan@email.net;06/12/1999;181;26;50;18683
9;Josefa;Escribano;Serrano;M;25058329J;Paseo Decadencia Viajera 2, 5º;Hospitalet de Llobregat;Barcelona;8367;676-437-527;934-926-080;jos.escribano@email.net;01/06/1995;304;236;42;18640
10;Antonio Jesús;Alegre;Vázquez;H;76358305F;Paseo Objeción 255, 1º;Jerez de la Frontera;Cádiz;11745;688-727-885;956-115-815;antonialegre@mail.net;22/06/2000;92;207;75;19821
11;Daniel;Cervera;Ferreiro;H;16831475Y;Avenida Mesías 66, 4º;Roquetas de Mar;Almería;4011;630-401-581;950-322-909;dancervera43@correo.es;08/03/1968;391;486;97;16966
12;Félix;De Castro;Carrillo;H;90819459A;Calle de  Bautismo 223, 3º 1ª;Ávila;Ávila;5416;660-599-540;920-956-641;feldecastro@mail.es;19/08/1955;427;381;59;18739
13;Diego;De la Cruz;Ruiz;H;89084260Q;Avenida Herbívoro Maduro 232, 2º;Barcelona;Barcelona;8468;661-709-615;931-272-676;delacruz6@email.com;10/04/1955;173;489;91;24884
14;Natalia;Goñi;Fernández;M;43203032Q;Plaza Abdicación 296, 1;Mataró;Barcelona;8283;658-534-608;931-403-393;goñi63@mail.es;01/03/1938;219;461;34;18099
15;Antonio;Domínguez;Fernández;H;36669650Z;Paseo Comunicativo Joven 4, 1º;San Sebastián;Guipúzcoa;20800;645-715-144;943-301-303;dominguez97@mail.com;22/02/1948;261;457;67;19579
16;José Manuel;Rodríguez;Verdejo;H;23003618F;Avenida Eficiencia 296, 4;Villanueva y Geltrú;Barcelona;8219;635-693-986;931-553-160;josrodriguez@mail.es;25/07/1944;309;478;62;17723
17;María Carmen;Villaverde;González;M;96803743D;Avenida Víscera 248, 4º;Lebrija;Sevilla;41797;639-945-008;956-941-594;mvillaverde@mail.com;01/11/1955;246;474;67;16296
18;María Luisa;Moreno;Mendieta;M;01084191V;Calle Frugívoro Mentiroso 77, 3º;Molina de Segura;Murcia;30523;659-459-964;968-849-939;marialuisa.moreno@mail.com;23/02/1962;383;423;53;21197
19;Javier;Mesa;Gómez;H;34488449H;Plaza de  Hiperónimo Abierto 43, 6º 5ª;Játiva;Valencia;46399;639-727-666;963-911-154;javier.mesa@mail.com;19/05/1991;244;354;86;16763
20;Jesús;Armero;Hernández;H;92434006L;Plaza Concesión Madura 82, 1;Zaragoza;Zaragoza;50764;629-157-259;976-496-698;armero9@mail.net;27/05/1966;390;170;85;24711
21;María Dolores;Segura;Rodríguez;M;10292712M;Calle la Preservación 275, 4;Leganés;Madrid;28193;636-336-577;918-600-393;segura62@mail.com;13/08/1940;322;293;62;19252
22;Juan;Cobo;Vázquez;H;87268691K;Paseo  Bombilla Abierta 284, 4º;Madrid;Madrid;28996;681-279-600;913-950-131;jcobo@correo.es;29/12/1933;329;268;56;15220
23;María Dolores;Maqueda;Fernández;M;53690341S;Avenida Ave Compasivo 27, 2;Ames;La Coruña;15911;605-978-515;981-639-441;mariadoloresmaqueda@correo.net;24/07/1959;239;402;76;22287
24;Alejandro;Garrido;Jiménez;H;89831603C;Plaza lo Visible Prolijo 213, 5º;Alcalá de Henares;Madrid;28002;661-763-492;918-799-595;alejandrogarrido@email.es;13/12/1948;109;2;99;24272
25;Joan;Martínez;García;H;79777255F;Paseo Elipsis 184, 4º 1ª;Málaga;Málaga;29703;605-832-563;955-848-092;joanmartinez27@mail.net;17/08/1961;479;453;40;15025
26;Sergio;Pérez;De la Fuente;H;90266684X;Avenida Tecnología Lenta 56, 2º 3ª;Las Rozas de Madrid;Madrid;28382;622-675-930;915-251-836;sergioperez@correo.es;19/06/1946;225;283;99;15936
27;Isabel;Rodríguez;Martin;M;93007009T;Plaza  Acceso 277, 4º 4ª;Barcelona;Barcelona;8984;647-686-115;938-617-210;irodriguez58@email.net;25/12/1956;93;475;97;15477
28;María Dolores;Font;Marín;M;10819539V;Plaza Prevención Estricta 208, 2º;Valencia;Valencia;46906;655-546-596;961-522-519;mfont@correo.com;22/08/1956;406;215;52;17586
29;Laura;Martínez;Sánchez;M;46142548V;Plaza Perezoso Feo 247, 5;Madrid;Madrid;28332;684-298-621;916-126-754;martinez59@correo.net;13/09/1976;263;161;50;23798
30;Miguel;Prieto;Méndez;H;28404213H;Plaza de  Limnología Luminosa 174, 3;Pineda de Mar;Barcelona;8062;675-754-765;937-661-842;prieto12@mail.net;29/11/1991;494;175;86;24948
31;José Antonio;Muñoz;Fuentes;H;14555738G;Calle Necesidad 73, 1;Madrid;Madrid;28235;660-838-716;917-882-415;josmuñoz@email.com;23/03/1950;346;427;98;24775
32;Sandra;Gamboa;González;M;47389972J;Paseo el Nobiliario 241, 6;Huelva;Huelva;21176;695-038-148;959-706-841;sgamboa20@mail.net;20/08/1979;285;25;71;24126
33;María José;Yepes;Bernal;M;14576138A;Avenida de  Limo Sonoro 182, 2;Valencia;Valencia;46960;697-419-397;969-744-660;mariyepes@correo.net;29/11/1971;287;364;98;19473
34;Carmen;Castro;Gonzalo;M;24435241H;Plaza el Vertebrado Cruel 91, 4;Dos Hermanas;Sevilla;41122;613-515-524;955-934-291;ccastro@mail.es;17/11/1976;243;476;77;24268
35;Luis;Villalonga;Fernández;H;11192384D;Plaza de  Selva Agotada 128 bis, 5;Hospitalet de Llobregat;Barcelona;8080;621-635-018;936-846-723;luivillalonga@mail.es;02/07/1937;46;276;65;22993
36;Francisca;Ramos;Valdés;M;23820938E;Plaza Contribución 199, 3;Málaga;Málaga;29932;609-841-580;952-624-508;francisca.ramos@correo.es;21/08/2000;87;182;33;24689
37;María;Rosado;Pacheco;M;48281736K;Plaza de la Votación Mentirosa 232, 1;Alicante;Alicante;3258;601-454-610;965-988-131;rosado15@email.net;30/01/1981;144;15;100;20170
38;María Teresa;Serrano;Rodríguez;M;05189245P;Paseo Fósil Ácido 224, 2º 4ª;Córdoba;Córdoba;14065;669-870-154;957-154-683;serrano85@email.net;02/06/1991;25;386;92;19219
39;Teresa;Parra;Tirado;M;99849402P;Calle Zooplancton 205, 4º 1ª;San Vicente del Raspeig;Alicante;3874;670-816-801;966-298-557;t.parra@email.com;13/12/1976;7;413;36;23768
40;Marina;Díaz;Fernández;M;22314168M;Avenida Bienaventuranza Ordenada 212, 4;Palma de Mallorca;Islas Baleares;7269;670-143-725;971-994-897;m.diaz@correo.es;03/07/1965;500;308;52;21684
41;Víctor;Trillo;Díaz;H;22966269X;Plaza de  Rehabilitación 159, 5º 1ª;Burriana;Castellón;12952;689-718-751;964-661-867;victor.trillo@mail.es;27/01/1962;16;446;51;23674
42;José Luis;Gea;Ferrer;H;90977909Y;Calle Urgencia 125, 4º;Madrid;Madrid;28636;624-543-888;910-946-761;josgea@mail.com;28/02/1994;0;90;76;23732
43;Dolores;Fernández;Naranjo;M;10854712T;Avenida Advocación Venenosa 59, 4º;Benidorm;Alicante;3585;644-442-537;969-396-738;doloresfernandez@correo.es;05/04/1941;132;402;30;15254
44;Antonio;Villena;Juan;H;25735319K;Paseo de  Turgencia Nueva 197, 4º;Vélez-Málaga;Málaga;29274;688-623-162;955-356-139;ant.villena@email.com;25/03/1934;116;32;60;20646
45;Mónica;Martínez;Varela;M;68051863S;Plaza  Comprensión 172, 2º 5ª;Zaragoza;Zaragoza;50882;698-710-418;976-654-067;m.martinez@email.es;05/05/1964;12;417;35;16836
